iter	Passed	Remaining
0	70	5584
1	201	7839
2	308	7906
3	408	7758
4	508	7630
5	616	7598
6	715	7461
7	847	7630
8	952	7517
9	1017	7119
10	1068	6700
11	1145	6492
12	1240	6394
13	1321	6231
14	1430	6197
15	1641	6564
16	1932	7161
17	2120	7302
18	2261	7262
19	2421	7265
20	2759	7751
21	2839	7485
22	2944	7298
23	3008	7018
24	3146	6922
25	3231	6711
26	3294	6466
27	3348	6217
28	3402	5983
29	3457	5761
30	3522	5567
31	3603	5404
32	3655	5206
33	3707	5015
34	3760	4834
35	3810	4657
36	3863	4489
37	3919	4332
38	3982	4186
39	4040	4040
40	4108	3908
41	4164	3767
42	4215	3626
43	4271	3494
44	4321	3361
45	4377	3235
46	4427	3109
47	4486	2990
48	4573	2893
49	4635	2781
50	4690	2667
51	4744	2554
52	4802	2446
53	4854	2337
54	4912	2232
55	4965	2127
56	5018	2025
57	5070	1923
58	5139	1829
59	5189	1729
60	5247	1634
61	5297	1538
62	5350	1443
63	5403	1350
64	5455	1258
65	5510	1168
66	5591	1084
67	5651	997
68	5700	908
69	5757	822
70	5813	736
71	5867	651
72	5923	568
73	5981	484
74	6033	402
75	6110	321
76	6222	242
77	6334	162
78	6461	81
79	6567	0
