iter	Passed	Remaining
0	69	69042
1	144	72283
2	229	76377
3	288	71798
4	333	66283
5	385	63895
6	456	64727
7	521	64714
8	595	65549
9	637	63114
10	719	64711
11	760	62591
12	829	63015
13	887	62480
14	988	64898
15	1116	68693
16	1444	83510
17	1742	95088
18	1943	100353
19	2066	101278
20	2165	100951
21	2202	97910
22	2287	97174
23	2370	96417
24	2459	95904
25	2549	95513
26	2664	96014
27	2750	95498
28	2854	95566
29	2878	93083
30	3000	93795
31	3158	95539
32	3297	96641
33	3411	96939
34	3554	98013
35	3663	98106
36	3843	100031
37	3950	100020
38	4080	100544
39	4196	100716
40	4342	101572
41	4457	101668
42	4541	101074
43	4592	99784
44	4626	98183
45	4693	97343
46	4765	96622
47	4874	96680
48	4945	95990
49	5038	95737
50	5154	95911
51	5268	96039
52	5359	95763
53	5437	95261
54	5536	95124
55	5616	94677
56	5670	93817
57	5758	93522
58	5841	93168
59	5970	93536
60	6068	93421
61	6124	92664
62	6229	92649
63	6300	92140
64	6375	91706
65	6458	91394
66	6604	91968
67	6681	91579
68	6784	91537
69	6873	91314
70	6961	91084
71	7010	90358
72	7096	90121
73	7205	90171
74	7326	90357
75	7421	90229
76	7504	89956
77	7610	89954
78	7709	89882
79	7849	90265
80	7953	90238
81	8039	90008
82	8150	90052
83	8225	89701
84	8328	89653
85	8407	89349
86	8501	89217
87	8605	89188
88	8706	89120
89	8805	89036
90	8917	89073
91	9004	88874
92	9111	88863
93	9226	88924
94	9315	88745
95	9390	88428
96	9499	88435
97	9581	88189
98	9684	88142
99	9775	87976
100	9880	87943
101	9973	87808
102	10066	87664
103	10181	87715
104	10273	87566
105	10411	87811
106	10517	87778
107	10603	87579
108	10661	87151
109	10842	87727
110	10987	87999
111	11114	88121
112	11251	88317
113	11345	88178
114	11484	88378
115	11610	88479
116	11784	88934
117	11925	89136
118	12151	89959
119	12335	90460
120	12460	90516
121	12568	90450
122	12719	90694
123	12852	90796
124	12966	90764
125	13102	90884
126	13214	90839
