iter	Passed	Remaining
0	36	3567
1	84	4147
2	115	3731
3	132	3176
4	142	2702
5	162	2549
6	178	2375
7	198	2286
8	223	2256
9	248	2237
10	261	2112
11	276	2030
12	307	2060
13	337	2074
14	352	1999
15	370	1945
16	431	2107
17	448	2044
18	487	2077
19	504	2016
20	519	1955
21	530	1881
22	572	1916
23	609	1930
24	634	1904
25	646	1840
26	658	1779
27	692	1781
28	715	1752
29	738	1722
30	748	1666
31	788	1676
32	800	1624
33	840	1632
34	870	1616
35	880	1565
36	893	1520
37	911	1486
38	942	1473
39	968	1452
40	1004	1444
41	1040	1436
42	1062	1407
43	1097	1397
44	1121	1370
45	1137	1334
46	1157	1304
47	1193	1292
48	1208	1258
49	1228	1228
50	1245	1196
51	1266	1169
52	1286	1141
53	1297	1105
54	1337	1094
55	1356	1066
56	1389	1048
57	1400	1014
58	1437	999
59	1458	972
60	1470	940
61	1489	913
62	1526	896
63	1568	882
64	1584	853
65	1621	835
66	1637	806
67	1675	788
68	1701	764
69	1737	744
70	1780	727
71	1801	700
72	1835	678
73	1855	651
74	1877	625
75	1894	598
76	1904	568
77	1929	544
78	1953	519
79	1964	491
80	2001	469
81	2036	447
82	2052	420
83	2072	394
84	2084	367
85	2100	341
86	2134	318
87	2171	296
88	2197	271
89	2232	248
90	2267	224
91	2298	199
92	2333	175
93	2370	151
94	2407	126
95	2443	101
96	2478	76
97	2516	51
98	2536	25
99	2571	0
