iter	Accuracy	Logloss
0	0.8198653199	0.6636488438
1	0.835016835	0.6361027619
2	0.8164983165	0.6215892187
3	0.8131313131	0.6031218818
4	0.8164983165	0.5835360447
5	0.8198653199	0.5635558058
6	0.8198653199	0.5463538434
7	0.8282828283	0.5295226418
8	0.8417508418	0.5128504935
9	0.8367003367	0.5050531858
10	0.8400673401	0.4932742484
11	0.8367003367	0.4882516114
12	0.8383838384	0.4760108938
13	0.8367003367	0.4675395011
14	0.8316498316	0.4590725863
15	0.82996633	0.4552412947
16	0.82996633	0.445701765
17	0.82996633	0.4401608131
18	0.8333333333	0.433819524
19	0.8333333333	0.4280118988
20	0.82996633	0.424833662
21	0.8333333333	0.4189430246
22	0.8400673401	0.4150237945
23	0.8451178451	0.4120267206
24	0.8468013468	0.4066980399
25	0.8468013468	0.4023113293
26	0.8468013468	0.4002596835
27	0.8434343434	0.3988495799
28	0.8434343434	0.395541802
29	0.8417508418	0.3953320873
30	0.8484848485	0.3927626127
31	0.8484848485	0.3919996919
32	0.8451178451	0.3887948994
33	0.8434343434	0.3858780236
34	0.8451178451	0.3850943985
35	0.8501683502	0.3829489257
36	0.8484848485	0.3809985888
37	0.8569023569	0.376783303
38	0.8535353535	0.3742924745
39	0.8535353535	0.3738452416
40	0.8535353535	0.3709563438
41	0.8535353535	0.3701483681
42	0.8569023569	0.3693491853
43	0.8585858586	0.3662698665
44	0.8569023569	0.3659215759
45	0.8585858586	0.3643260224
46	0.8585858586	0.3634405422
47	0.8602693603	0.3624090987
48	0.8602693603	0.3623896413
49	0.8585858586	0.3608509825
50	0.8602693603	0.3582107805
51	0.8585858586	0.3577056083
52	0.861952862	0.3556854892
53	0.861952862	0.3546955347
54	0.8602693603	0.353103168
55	0.8602693603	0.3524068303
56	0.8585858586	0.3504794043
57	0.8602693603	0.3483265025
58	0.861952862	0.3446993734
59	0.861952862	0.3433881307
60	0.8602693603	0.3430712737
61	0.8602693603	0.3415631295
62	0.8636363636	0.3382691979
63	0.8686868687	0.3360103594
64	0.8737373737	0.3348159054
65	0.8771043771	0.3338325966
66	0.8771043771	0.3318257779
67	0.8771043771	0.3318222496
68	0.8771043771	0.329515138
69	0.8771043771	0.3294053068
70	0.8787878788	0.3284674727
71	0.8804713805	0.3263460503
72	0.8771043771	0.3258513045
73	0.8787878788	0.3242981819
74	0.8821548822	0.3228025303
75	0.8821548822	0.3226784481
76	0.8821548822	0.3219422464
77	0.8787878788	0.3212419835
78	0.8838383838	0.3192998481
79	0.8855218855	0.3179381936
80	0.8855218855	0.3173543794
81	0.8855218855	0.3170064507
82	0.8888888889	0.3144715034
83	0.8888888889	0.3139638487
84	0.8872053872	0.3130227372
85	0.8905723906	0.3120799463
86	0.8888888889	0.3108304565
87	0.8872053872	0.3102749963
88	0.8905723906	0.3086158592
89	0.8905723906	0.3081713542
90	0.8905723906	0.308171353
91	0.8905723906	0.3062214967
92	0.8922558923	0.3051091862
93	0.8905723906	0.3036928152
94	0.8905723906	0.3030699396
95	0.8905723906	0.3022306793
96	0.8905723906	0.3008644079
97	0.8905723906	0.2996926879
98	0.8905723906	0.2994264844
99	0.8905723906	0.2982349792
100	0.8905723906	0.2977584314
101	0.8905723906	0.2967604626
102	0.8905723906	0.296666131
103	0.8905723906	0.2959614297
104	0.8905723906	0.2955182351
105	0.8905723906	0.2945940948
106	0.8905723906	0.2939681635
107	0.8905723906	0.2932814989
108	0.8905723906	0.2927767032
109	0.8888888889	0.2914103471
110	0.8888888889	0.2901986191
111	0.8905723906	0.2884537559
112	0.8905723906	0.2882847015
113	0.8888888889	0.2862427637
114	0.8888888889	0.2853039208
115	0.8888888889	0.283992188
116	0.8888888889	0.2832087607
117	0.8888888889	0.2817254685
118	0.8888888889	0.2802530779
119	0.8905723906	0.2787709306
120	0.8922558923	0.2784937457
121	0.8922558923	0.2777641097
122	0.8939393939	0.276200113
123	0.8956228956	0.2750847478
124	0.8956228956	0.2735992479
125	0.8956228956	0.2725730454
126	0.8956228956	0.2722577242
127	0.8956228956	0.2712442759
128	0.8973063973	0.2691843516
129	0.898989899	0.2678345241
130	0.898989899	0.2677023765
131	0.898989899	0.2669261914
132	0.898989899	0.2661424508
133	0.898989899	0.2657124374
134	0.898989899	0.2653225401
135	0.8973063973	0.2650385271
136	0.898989899	0.2639593828
137	0.898989899	0.2625585357
138	0.898989899	0.2617682906
139	0.898989899	0.2607413183
140	0.904040404	0.2606537133
141	0.9057239057	0.2599227004
142	0.9057239057	0.2586080772
143	0.9057239057	0.2578013855
144	0.9057239057	0.2576470096
145	0.9074074074	0.2568348415
146	0.9090909091	0.256212398
147	0.9107744108	0.2556116522
148	0.9107744108	0.2551558958
149	0.9107744108	0.2542661513
150	0.9107744108	0.2540876587
151	0.9141414141	0.2532761417
152	0.9158249158	0.2525354846
153	0.9158249158	0.2519730314
154	0.9158249158	0.251320276
155	0.9158249158	0.2510593079
156	0.9158249158	0.2508105831
157	0.9158249158	0.2493281772
158	0.9158249158	0.2486383076
159	0.9191919192	0.2471109719
160	0.9191919192	0.2460440711
161	0.9191919192	0.2457689567
162	0.9191919192	0.2452902105
163	0.9191919192	0.2447937972
164	0.9191919192	0.2438127348
165	0.9191919192	0.2435293759
166	0.9191919192	0.2434773522
167	0.9191919192	0.2429418527
168	0.9191919192	0.2428305211
169	0.9208754209	0.2415550388
170	0.9208754209	0.2408670943
171	0.9225589226	0.2401709597
172	0.9242424242	0.2396348325
173	0.9259259259	0.2390850424
174	0.9242424242	0.2384664195
175	0.9242424242	0.2369457909
176	0.9259259259	0.2361126831
177	0.9276094276	0.2356138273
178	0.9276094276	0.2345969658
