iter	Passed	Remaining
0	26	13356
1	55	13867
2	66	10969
3	84	10483
4	112	11142
5	143	11802
6	174	12310
7	221	13609
8	251	13718
9	269	13193
10	295	13135
11	304	12401
12	334	12520
13	362	12568
14	389	12587
15	404	12239
16	439	12478
17	477	12777
18	523	13258
19	570	13689
20	608	13874
21	636	13829
22	666	13827
23	695	13790
24	724	13772
25	755	13774
26	783	13729
27	798	13454
28	824	13393
29	834	13081
30	864	13076
31	884	12930
32	910	12886
33	936	12830
34	953	12666
35	986	12714
36	1017	12728
37	1045	12714
38	1073	12688
39	1083	12462
40	1110	12432
41	1136	12389
42	1164	12373
43	1198	12423
44	1209	12225
45	1235	12195
46	1262	12171
47	1290	12149
48	1300	11965
49	1327	11947
50	1353	11914
51	1382	11914
52	1416	11944
53	1446	11944
54	1474	11931
55	1502	11912
56	1530	11896
57	1559	11882
58	1586	11860
59	1622	11898
60	1645	11842
61	1680	11872
62	1716	11903
63	1749	11919
64	1782	11928
65	1806	11878
66	1842	11906
67	1855	11786
68	1887	11792
69	1899	11671
70	1932	11674
71	1962	11663
72	1995	11673
73	2047	11786
74	2078	11776
75	2104	11738
76	2131	11711
77	2160	11687
78	2190	11673
79	2224	11679
80	2244	11611
81	2297	11710
82	2361	11862
83	2401	11890
84	2442	11923
85	2495	12012
86	2540	12060
87	2624	12287
88	2718	12552
89	2771	12624
90	2781	12503
91	2849	12636
92	2891	12654
93	2959	12783
94	3021	12883
95	3075	12943
96	3153	13102
97	3204	13146
98	3232	13093
99	3324	13296
100	3365	13293
101	3404	13285
102	3431	13225
103	3486	13274
104	3530	13281
105	3567	13261
106	3600	13224
107	3632	13183
108	3670	13166
109	3706	13140
110	3740	13108
111	3777	13084
112	3812	13056
113	3843	13012
114	3869	12954
115	3898	12906
116	3927	12857
117	3953	12799
118	3983	12754
119	4013	12709
120	4040	12655
121	4067	12601
122	4099	12564
123	4126	12512
124	4152	12457
125	4181	12411
126	4210	12364
127	4236	12313
128	4264	12263
129	4294	12222
130	4305	12127
131	4329	12071
132	4356	12021
133	4385	11977
134	4413	11932
135	4438	11880
136	4464	11829
137	4497	11796
138	4527	11758
139	4555	11713
140	4581	11665
141	4611	11625
142	4644	11594
143	4676	11560
144	4691	11487
145	4719	11443
146	4746	11398
147	4773	11353
148	4799	11306
149	4826	11262
150	4854	11220
151	4880	11173
152	4908	11132
153	4939	11096
154	4966	11054
155	4991	11006
156	5015	10957
157	5044	10919
158	5073	10881
159	5104	10846
160	5131	10804
161	5160	10766
162	5188	10728
163	5218	10692
164	5250	10659
165	5277	10619
166	5288	10544
167	5314	10502
168	5324	10428
169	5351	10388
170	5384	10358
171	5410	10317
172	5437	10278
173	5468	10245
174	5498	10210
175	5527	10176
176	5553	10134
177	5584	10102
178	5614	10069
179	5645	10037
180	5673	9999
181	5702	9962
182	5729	9925
183	5756	9886
184	5786	9852
185	5815	9816
186	5842	9779
187	5868	9739
188	5899	9707
189	5927	9671
190	5954	9633
191	5981	9595
192	6011	9562
193	6038	9523
194	6064	9485
195	6092	9449
196	6125	9421
197	6153	9385
198	6179	9347
199	6211	9316
200	6242	9285
201	6268	9247
202	6295	9211
203	6325	9178
204	6351	9140
205	6379	9104
206	6407	9069
207	6435	9034
208	6462	8998
209	6493	8966
210	6521	8932
211	6550	8898
212	6576	8861
213	6604	8827
214	6632	8792
215	6664	8763
216	6694	8730
217	6721	8694
218	6750	8661
219	6776	8624
220	6804	8590
221	6830	8553
222	6859	8519
223	6887	8486
224	6914	8451
225	6942	8417
226	6974	8388
227	7001	8352
228	7027	8316
229	7063	8292
230	7091	8258
231	7119	8223
232	7144	8187
233	7174	8155
234	7205	8125
235	7234	8092
236	7261	8057
237	7289	8024
238	7316	7990
239	7343	7955
240	7370	7920
241	7399	7889
242	7426	7854
243	7453	7819
244	7487	7792
245	7515	7759
246	7542	7726
247	7570	7692
248	7598	7659
249	7626	7626
250	7657	7595
251	7684	7562
252	7716	7533
253	7743	7499
254	7770	7465
255	7800	7434
256	7830	7403
257	7856	7369
258	7885	7337
259	7914	7305
260	7945	7275
261	7972	7242
262	8000	7209
263	8029	7178
264	8055	7143
265	8083	7110
266	8110	7077
267	8138	7045
268	8166	7012
269	8194	6980
270	8222	6948
271	8251	6916
272	8280	6885
273	8308	6853
274	8343	6826
275	8370	6793
276	8398	6761
277	8426	6729
278	8455	6697
279	8484	6666
280	8511	6633
281	8539	6601
282	8566	6568
283	8594	6536
284	8625	6507
285	8656	6477
286	8684	6445
287	8711	6412
288	8742	6383
289	8770	6351
290	8798	6318
291	8825	6286
292	8856	6256
293	8883	6224
294	8910	6192
295	8937	6159
296	8965	6128
297	8992	6095
298	9020	6063
299	9047	6031
300	9077	6001
301	9104	5969
302	9131	5936
303	9165	5909
304	9192	5877
305	9222	5846
306	9247	5813
307	9276	5783
308	9307	5753
309	9335	5721
310	9363	5690
311	9392	5659
312	9420	5628
313	9447	5596
314	9479	5567
315	9509	5537
316	9539	5507
317	9567	5475
318	9599	5446
319	9629	5416
320	9656	5384
321	9685	5354
322	9716	5324
323	9743	5292
324	9770	5261
325	9801	5231
326	9827	5199
327	9855	5168
328	9882	5136
329	9910	5105
330	9938	5074
331	9966	5043
332	9992	5011
333	10023	4981
334	10051	4950
335	10077	4918
336	10104	4887
337	10136	4858
338	10166	4828
339	10194	4797
340	10223	4766
341	10252	4736
342	10280	4705
343	10307	4674
344	10335	4643
345	10362	4612
346	10389	4581
347	10417	4550
348	10449	4521
349	10480	4491
350	10506	4460
351	10533	4428
352	10563	4398
353	10597	4370
354	10627	4340
355	10656	4310
356	10682	4278
357	10709	4247
358	10736	4216
359	10765	4186
360	10793	4156
361	10820	4124
362	10850	4095
363	10878	4064
364	10907	4034
365	10932	4002
366	10964	3973
367	10992	3942
368	11018	3911
369	11048	3881
370	11077	3851
371	11106	3821
372	11131	3790
373	11159	3759
374	11185	3728
375	11214	3698
376	11243	3668
377	11272	3638
378	11306	3609
379	11332	3578
380	11358	3547
381	11386	3517
382	11415	3487
383	11444	3457
384	11473	3427
385	11499	3396
386	11528	3366
387	11557	3336
