iter	Accuracy	Logloss
0	0.8136924804	0.6619971974
1	0.8148148148	0.6396395957
2	0.8114478114	0.6127252147
3	0.8125701459	0.5934723414
4	0.8294051627	0.5718260356
5	0.8271604938	0.5506682508
6	0.8305274972	0.5375882877
7	0.8294051627	0.5243585912
8	0.8282828283	0.5134807264
9	0.8294051627	0.5015014155
10	0.8260381594	0.4942628519
11	0.8271604938	0.4849982555
12	0.8271604938	0.4772885891
13	0.8294051627	0.4708093943
14	0.8260381594	0.4651678243
15	0.8249158249	0.4591988336
16	0.8237934905	0.4547003548
17	0.8271604938	0.4450198432
18	0.8294051627	0.4385585165
19	0.8271604938	0.4368106519
20	0.8294051627	0.4321853469
21	0.8282828283	0.427613893
22	0.8305274972	0.4235784468
23	0.8327721661	0.4228355128
24	0.8316498316	0.4181368527
25	0.8383838384	0.4149920335
26	0.8417508418	0.4108530587
27	0.8439955107	0.4076951932
28	0.8439955107	0.4054152619
29	0.8439955107	0.4014496226
30	0.8417508418	0.3990385032
31	0.8428731762	0.395561846
32	0.8428731762	0.3941526746
33	0.8484848485	0.392621789
34	0.8496071829	0.3897012656
35	0.8484848485	0.3869662542
36	0.8496071829	0.3837244015
37	0.8529741863	0.3811188892
38	0.8540965208	0.3779934695
39	0.8540965208	0.3759122305
40	0.8529741863	0.3754334343
41	0.8540965208	0.3733006511
42	0.8552188552	0.3721649632
43	0.8552188552	0.3687103569
44	0.8552188552	0.3683640846
45	0.8608305275	0.3673021112
46	0.8608305275	0.3649903661
47	0.859708193	0.3631584111
48	0.8641975309	0.3624313153
49	0.859708193	0.3622424189
50	0.8585858586	0.3622219333
51	0.8641975309	0.3607914326
52	0.8653198653	0.3606645642
53	0.8653198653	0.360190563
54	0.8664421998	0.3594162417
55	0.8698092031	0.3554427506
56	0.8709315376	0.3543465163
57	0.8720538721	0.3532599454
58	0.8698092031	0.3519460221
59	0.8698092031	0.3513646763
60	0.8686868687	0.3486269212
61	0.8720538721	0.3478711577
62	0.8698092031	0.3471738181
63	0.8709315376	0.3459290764
64	0.8731762065	0.3425867099
65	0.8731762065	0.3413746876
66	0.8731762065	0.3412027391
67	0.8720538721	0.3390927075
68	0.8731762065	0.3390898316
69	0.8709315376	0.3389770213
70	0.8731762065	0.3386292695
71	0.874298541	0.3378033817
72	0.8765432099	0.3374625578
73	0.8754208754	0.337303815
74	0.8754208754	0.3373022795
75	0.8754208754	0.3368150867
76	0.8776655443	0.3360131583
77	0.8787878788	0.3352519398
78	0.8776655443	0.3346546334
79	0.8776655443	0.3343490411
80	0.8787878788	0.3322539971
81	0.8787878788	0.3318837817
82	0.8799102132	0.3307763723
83	0.8821548822	0.3298734562
84	0.8832772166	0.3289324246
85	0.8832772166	0.3284616491
86	0.8855218855	0.3278131174
87	0.8855218855	0.3275477157
88	0.8843995511	0.3268624093
89	0.8877665544	0.325748498
90	0.8877665544	0.3248038821
91	0.88664422	0.3243728156
92	0.8888888889	0.3239220764
93	0.8888888889	0.323371903
94	0.8900112233	0.3227173237
95	0.8900112233	0.3222209536
96	0.8900112233	0.3218397101
97	0.8900112233	0.3215024947
98	0.8900112233	0.3208611679
99	0.8900112233	0.3202230179
100	0.8900112233	0.3202230173
101	0.8911335578	0.3196448247
102	0.8922558923	0.3189731764
103	0.8911335578	0.3180048249
104	0.8922558923	0.31777889
105	0.8922558923	0.317778889
106	0.8922558923	0.3169031748
107	0.8922558923	0.3169031713
108	0.8922558923	0.316354289
109	0.8911335578	0.3157273019
110	0.8922558923	0.3150993477
111	0.8933782267	0.3145731391
112	0.8933782267	0.3144539674
113	0.8933782267	0.3138961318
114	0.8933782267	0.3134140041
115	0.8933782267	0.3127157056
116	0.8956228956	0.3123092975
117	0.8956228956	0.3117648364
118	0.8956228956	0.3102568047
119	0.8956228956	0.3101494738
120	0.8967452301	0.3096482396
121	0.9001122334	0.3094107617
122	0.8967452301	0.3086720836
123	0.9001122334	0.3083085918
124	0.9001122334	0.3079569768
125	0.9001122334	0.3076713468
