iter	Passed	Remaining
0	79	39466
1	132	32996
2	218	36119
3	300	37237
4	436	43228
5	608	50078
6	718	50572
7	826	50800
8	881	48116
9	938	46004
10	976	43419
11	1016	41341
12	1057	39627
13	1100	38208
14	1150	37214
15	1231	37261
16	1274	36208
17	1307	35009
18	1347	34123
19	1360	32648
20	1408	32135
21	1443	31360
22	1471	30515
23	1481	29386
24	1509	28681
25	1539	28072
26	1569	27498
27	1626	27411
28	1962	31881
29	2020	31647
30	2050	31027
31	2100	30721
32	2144	30344
33	2190	30028
34	2222	29523
35	2310	29784
36	2387	29878
37	2505	30456
38	2654	31372
39	2732	31424
40	2750	30797
41	2788	30409
42	2823	30007
43	2859	29638
44	2883	29151
45	2915	28769
46	2948	28418
47	2990	28164
48	3031	27906
49	3045	27411
50	3096	27262
51	3232	27851
52	3256	27463
53	3349	27668
54	3434	27785
55	3481	27599
56	3522	27379
57	3557	27111
58	3590	26838
59	3626	26595
60	3656	26315
61	3685	26038
62	3716	25778
63	3755	25583
64	3790	25365
65	3823	25143
66	3856	24925
67	3888	24704
68	3898	24351
69	3909	24012
70	3943	23829
71	3971	23606
72	4000	23398
73	4013	23106
74	4022	22796
75	4051	22602
76	4084	22437
77	4113	22255
78	4144	22086
79	4172	21904
80	4199	21725
81	4235	21590
82	4270	21455
83	4302	21307
84	4334	21163
85	4359	20984
86	4389	20836
87	4418	20686
88	4447	20538
89	4477	20395
90	4505	20248
91	4535	20113
92	4569	19997
93	4621	19962
94	4672	19919
95	4725	19885
96	4768	19813
97	4810	19731
98	4848	19639
99	4887	19550
100	4896	19345
101	4931	19241
102	4966	19143
103	5000	19041
104	5033	18934
105	5039	18733
106	5065	18605
107	5071	18408
108	5100	18297
109	5128	18181
110	5155	18066
111	5182	17954
112	5193	17787
113	5222	17682
114	5255	17596
115	5283	17489
116	5312	17389
117	5339	17284
118	5367	17184
119	5379	17034
120	5409	16944
121	5439	16852
122	5470	16767
123	5498	16672
124	5528	16584
125	5558	16498
126	5586	16406
127	5615	16318
128	5651	16252
129	5665	16125
130	5898	16615
131	5950	16589
132	6016	16601
133	6068	16575
134	6116	16536
135	6155	16474
136	6198	16425
137	6265	16435
138	6301	16365
139	6342	16308
140	6377	16238
141	6443	16243
142	6490	16203
143	6528	16140
144	6566	16076
145	6607	16021
146	6642	15950
147	6722	15989
148	6815	16055
149	6880	16053
150	6922	16000
151	6986	15995
152	7059	16010
153	7107	15969
154	7144	15901
155	7157	15782
156	7194	15716
157	7228	15647
158	7262	15576
159	7306	15526
160	7346	15468
161	7390	15419
162	7429	15359
163	7467	15299
164	7507	15241
165	7554	15200
166	7621	15197
167	7667	15152
168	7699	15079
169	7730	15005
170	7759	14929
171	7788	14853
172	7821	14783
173	7856	14719
174	7888	14649
175	7919	14579
176	7948	14505
177	7976	14428
178	8004	14354
179	8036	14287
180	8065	14214
181	8097	14149
182	8129	14082
183	8158	14011
184	8189	13943
185	8224	13883
186	8244	13800
187	8272	13728
188	8302	13661
189	8332	13595
190	8361	13526
191	8389	13457
192	8419	13391
193	8461	13346
194	8512	13313
195	8563	13281
196	8599	13226
197	8636	13172
198	8905	13469
199	9096	13644
200	9152	13614
201	9203	13577
202	9244	13524
203	9285	13473
204	9332	13429
205	9368	13371
206	9420	13333
207	9477	13305
208	9519	13253
209	9569	13215
210	9613	13166
211	9652	13113
212	9685	13050
213	9714	12982
214	9748	12921
215	9799	12884
216	9861	12860
217	9913	12824
218	9962	12782
219	10000	12728
220	10039	12674
221	10075	12616
222	10113	12562
223	10154	12511
224	10186	12450
225	10213	12382
226	10239	12314
227	10269	12251
228	10298	12187
229	10334	12132
230	10362	12067
231	10392	12005
232	10420	11941
233	10450	11879
234	10477	11814
235	10507	11753
236	10536	11692
237	10564	11629
238	10599	11575
239	10629	11514
240	10673	11471
241	11040	11770
242	11175	11819
243	11307	11863
244	11375	11839
245	11502	11876
246	11594	11875
247	11747	11937
248	11849	11944
249	11910	11910
250	12222	12125
251	12322	12127
252	12386	12093
253	12438	12046
254	12497	12007
255	12547	11959
256	12589	11903
257	12634	11850
258	12668	11788
259	12713	11735
260	12756	11680
261	12806	11633
262	12865	11593
263	12943	11570
264	12974	11505
265	13002	11438
266	13044	11383
267	13079	11322
268	13108	11256
269	13136	11190
270	13168	11127
271	13196	11061
272	13225	10997
273	13253	10932
274	13282	10867
275	13309	10802
276	13336	10736
277	13365	10673
278	13395	10610
279	13422	10546
280	13450	10482
281	13480	10420
282	13511	10360
283	13540	10298
284	13571	10237
285	13600	10176
286	13628	10114
287	13655	10052
288	13688	9993
289	13722	9937
290	13758	9881
291	13797	9828
292	13837	9775
293	13875	9722
294	13908	9665
295	13939	9607
296	13969	9548
297	13997	9488
298	14084	9468
299	14221	9481
300	14285	9444
301	14347	9406
302	14388	9355
303	14448	9315
304	14476	9255
305	14503	9195
306	14533	9136
307	14563	9078
308	14592	9019
309	14623	8962
310	14688	8926
311	14776	8903
312	14839	8865
313	14891	8821
314	14937	8772
315	14984	8725
316	15023	8672
317	15104	8644
318	15163	8603
319	15204	8552
320	15241	8499
321	15304	8460
322	15353	8413
323	15398	8364
324	15438	8313
325	15475	8260
326	15521	8211
327	15561	8160
328	15637	8127
329	15762	8119
330	15890	8113
331	15956	8074
332	16017	8032
333	16072	7988
334	16112	7935
335	16170	7892
336	16214	7842
337	16256	7791
338	16314	7748
339	16378	7707
340	16417	7655
341	16467	7607
342	16522	7562
343	16583	7520
344	16632	7472
345	16684	7426
346	16727	7375
347	16787	7332
348	16853	7291
349	16899	7242
350	16950	7195
351	16991	7144
352	17050	7100
353	17096	7051
354	17144	7002
355	17194	6955
356	17230	6902
357	17266	6848
358	17300	6795
359	17339	6743
360	17380	6692
361	17556	6692
362	17627	6652
363	17662	6599
364	17692	6543
365	17723	6489
366	17756	6434
367	17787	6380
368	17813	6323
369	17840	6268
370	17868	6213
371	17897	6158
372	17938	6107
373	17992	6061
374	18097	6032
375	18174	5993
376	18220	5944
377	18263	5894
378	18304	5843
379	18339	5791
380	18372	5738
381	18404	5685
382	18431	5630
383	18459	5576
384	18488	5522
385	18518	5469
386	18547	5415
387	18576	5362
388	18604	5308
389	18634	5255
390	18661	5202
391	18690	5149
392	18719	5096
393	18748	5043
394	18777	4991
395	18808	4939
396	18837	4887
397	18867	4835
398	18895	4782
399	18922	4730
400	18952	4678
401	18980	4627
402	19011	4576
403	19039	4524
404	19069	4473
405	19095	4421
406	19122	4369
407	19152	4318
408	19182	4268
409	19211	4217
410	19237	4165
411	19268	4115
412	19298	4065
413	19326	4014
414	19354	3964
415	19382	3913
416	19409	3863
417	19436	3812
418	19464	3762
419	19491	3712
420	19520	3662
421	19548	3613
422	19581	3564
423	19609	3514
424	19638	3465
425	19666	3416
426	19695	3367
427	19724	3318
428	19756	3269
429	19783	3220
430	19816	3172
431	19845	3123
432	19875	3075
433	19902	3026
434	19929	2978
435	19958	2929
436	19986	2881
437	20016	2833
438	20066	2788
439	20096	2740
440	20124	2692
441	20153	2644
442	20182	2596
443	20211	2549
444	20238	2501
445	20266	2453
446	20297	2406
447	20326	2359
448	20355	2312
449	20381	2264
450	20411	2217
451	20439	2170
452	20465	2123
453	20494	2076
454	20524	2029
455	20552	1983
456	20580	1936
457	20607	1889
458	20640	1843
459	20668	1797
460	20696	1750
461	20725	1704
462	20753	1658
463	20783	1612
464	20815	1566
465	20843	1520
466	20871	1474
467	20897	1428
468	20924	1383
469	20955	1337
470	20983	1291
471	21010	1246
472	21038	1200
473	21066	1155
474	21094	1110
475	21123	1065
476	21151	1019
477	21180	974
478	21208	929
479	21236	884
480	21264	839
481	21293	795
482	21321	750
483	21349	705
484	21379	661
485	21408	616
486	21436	572
487	21464	527
488	21493	483
489	21522	439
490	21550	395
491	21578	350
492	21608	306
493	21636	262
494	21663	218
495	21690	174
496	21719	131
497	21746	87
498	21775	43
499	21805	0
