iter	Passed	Remaining
0	1	163
1	3	179
2	26	849
3	30	737
4	35	667
5	40	628
6	45	609
7	51	586
8	61	617
9	65	590
10	72	583
11	76	562
12	81	543
13	85	527
14	90	512
15	98	514
16	102	502
17	107	488
18	111	475
19	115	463
20	129	486
21	140	499
22	145	486
23	149	474
24	154	464
25	159	453
26	163	442
27	169	437
28	174	426
29	178	417
30	188	420
31	193	410
32	197	401
33	202	392
34	206	384
35	211	375
36	217	370
37	221	361
38	226	353
39	231	347
40	236	339
41	240	332
42	246	326
43	251	319
44	256	312
45	277	325
46	285	322
47	290	315
48	295	307
49	300	300
50	305	293
51	310	286
52	314	278
53	317	270
54	321	262
55	324	254
56	328	247
57	332	240
58	335	233
59	338	225
60	342	218
61	347	212
62	350	205
63	353	198
64	357	192
65	360	185
66	364	179
67	367	173
68	372	167
69	376	161
70	380	155
71	392	152
72	400	148
73	412	144
74	416	138
75	427	134
76	431	128
77	435	122
78	465	123
79	476	119
80	481	113
81	488	107
82	497	101
83	504	96
84	513	90
85	521	84
86	527	78
87	535	73
88	539	66
89	550	61
90	554	54
91	566	49
92	571	43
93	582	37
94	587	30
95	592	24
96	599	18
97	607	12
98	613	6
99	620	0
