iter	Logloss
0	0.6656556363
1	0.6418599675
2	0.6231499947
3	0.6036452859
4	0.5855500053
5	0.5704597247
6	0.5568636134
7	0.5444991986
8	0.5333471671
9	0.5240033194
10	0.5143384485
11	0.505968622
12	0.4987381939
13	0.4914892366
14	0.4847435394
15	0.4795760624
16	0.474862019
17	0.470163023
18	0.4656482107
19	0.4616166856
20	0.4582830905
21	0.4561118478
22	0.4527374969
23	0.4502539429
24	0.4470942517
25	0.4438363
26	0.4405987444
27	0.4385231725
28	0.4376456955
29	0.4343763483
30	0.4324826034
31	0.4310561727
32	0.429231721
33	0.4276966227
34	0.4264699732
35	0.4251290077
36	0.4237957319
37	0.4220400456
38	0.4201939567
39	0.4185452873
40	0.4175631463
41	0.4166812716
42	0.4149267774
43	0.4141289551
44	0.4135204377
45	0.4131188895
46	0.4110109062
47	0.409704002
48	0.4083106766
49	0.4077183413
50	0.40728772
51	0.4067232886
52	0.4063581066
53	0.406027922
54	0.405005079
55	0.4048333625
56	0.4037792421
57	0.4032140124
58	0.4021292849
59	0.4012550631
60	0.4008882436
61	0.4004318541
62	0.3996033267
63	0.3986779454
64	0.3978498439
65	0.395941113
66	0.3953298121
67	0.3948283423
68	0.3948132915
69	0.3936078087
70	0.392892517
71	0.3918666944
72	0.3915486301
73	0.3909842398
74	0.3909186322
75	0.390004947
76	0.3897344285
77	0.3893249278
78	0.3889168965
79	0.3886149259
80	0.3864837169
81	0.386022458
82	0.3852824446
83	0.3848639185
84	0.3843016194
85	0.3838484308
86	0.3836683735
87	0.3832881869
88	0.3832634832
89	0.3831977953
90	0.3830295695
91	0.3822527572
92	0.3821022213
93	0.3816042098
94	0.3815890499
95	0.3814847513
96	0.3813062003
97	0.3812152247
98	0.3808071569
99	0.3803495277
